,gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,raisedhands
0,0,KW,KuwaIT,lowerlevel,G-04,A,15.0
1,0,KW,KuwaIT,lowerlevel,G-04,A,20.0
2,0,KW,KuwaIT,lowerlevel,G-04,A,10.0
3,0,KW,KuwaIT,lowerlevel,G-04,A,30.0
4,0,KW,KuwaIT,lowerlevel,G-04,A,40.0
5,1,KW,KuwaIT,lowerlevel,G-04,A,42.0
6,0,KW,KuwaIT,MiddleSchool,G-07,A,35.0
7,0,KW,KuwaIT,MiddleSchool,G-07,A,50.0
8,1,KW,KuwaIT,MiddleSchool,G-07,A,12.0
9,1,KW,KuwaIT,MiddleSchool,G-07,B,70.0
10,0,KW,KuwaIT,MiddleSchool,G-07,A,50.0
11,0,KW,KuwaIT,MiddleSchool,G-07,B,19.0
12,0,KW,KuwaIT,lowerlevel,G-04,A,5.0
13,0,lebanon,lebanon,MiddleSchool,G-08,A,33.5
14,1,KW,KuwaIT,MiddleSchool,G-08,A,62.0
15,1,KW,KuwaIT,MiddleSchool,G-06,A,30.0
16,0,KW,KuwaIT,MiddleSchool,G-07,B,36.0
17,0,KW,KuwaIT,MiddleSchool,G-07,A,55.0
18,1,KW,KuwaIT,MiddleSchool,G-07,A,69.0
19,0,KW,KuwaIT,MiddleSchool,G-07,B,70.0
20,1,KW,KuwaIT,MiddleSchool,G-07,A,60.0
21,1,KW,KuwaIT,MiddleSchool,G-07,B,37.5
22,0,KW,KuwaIT,MiddleSchool,G-07,A,15.0
23,0,KW,KuwaIT,MiddleSchool,G-07,A,2.0
24,0,KW,KuwaIT,MiddleSchool,G-07,B,0.0
25,0,KW,KuwaIT,MiddleSchool,G-07,A,8.0
26,0,KW,KuwaIT,MiddleSchool,G-07,B,19.0
27,0,KW,KuwaIT,MiddleSchool,G-08,A,25.0
28,0,KW,KuwaIT,MiddleSchool,G-08,A,75.0
29,1,KW,KuwaIT,MiddleSchool,G-08,A,30.0
30,1,KW,KuwaIT,MiddleSchool,G-08,A,35.0
31,0,KW,KuwaIT,MiddleSchool,G-07,A,4.0
32,1,KW,KuwaIT,lowerlevel,G-07,A,2.0
33,0,KW,KuwaIT,lowerlevel,G-05,A,8.0
34,0,KW,KuwaIT,MiddleSchool,G-07,B,12.0
35,0,KW,KuwaIT,MiddleSchool,G-07,A,10.0
36,0,KW,KuwaIT,MiddleSchool,G-07,B,27.5
37,1,Egypt,Egypt,MiddleSchool,G-07,A,45.0
38,0,KW,KuwaIT,MiddleSchool,G-06,A,0.0
39,1,SaudiArabia,SaudiArabia,MiddleSchool,G-07,B,50.0
40,1,KW,KuwaIT,MiddleSchool,G-07,A,14.0
41,0,KW,KuwaIT,MiddleSchool,G-07,A,19.0
42,0,KW,KuwaIT,HighSchool,G-09,A,10.0
43,1,KW,KuwaIT,HighSchool,G-09,A,30.0
44,1,KW,KuwaIT,HighSchool,G-09,A,33.0
45,0,KW,KuwaIT,MiddleSchool,G-07,A,20.0
46,0,KW,KuwaIT,lowerlevel,G-05,A,7.0
47,1,KW,KuwaIT,HighSchool,G-12,A,70.0
48,1,KW,KuwaIT,HighSchool,G-12,A,49.5
49,1,KW,KuwaIT,HighSchool,G-12,A,29.0
50,1,KW,KuwaIT,HighSchool,G-12,A,20.0
51,0,KW,KuwaIT,HighSchool,G-12,A,39.0
52,1,KW,KuwaIT,HighSchool,G-12,A,55.0
53,1,KW,KuwaIT,HighSchool,G-11,A,49.0
54,0,KW,KuwaIT,HighSchool,G-12,A,12.0
55,0,KW,KuwaIT,MiddleSchool,G-07,A,16.0
56,0,USA,USA,MiddleSchool,G-08,B,19.0
57,0,KW,KuwaIT,MiddleSchool,G-07,A,5.0
58,0,KW,KuwaIT,MiddleSchool,G-07,A,28.0
59,1,USA,USA,MiddleSchool,G-07,A,27.0
60,1,Jordan,Jordan,lowerlevel,G-05,A,21.0
61,0,KW,KuwaIT,HighSchool,G-10,A,50.5
62,0,venzuela,venzuela,HighSchool,G-10,A,80.0
63,0,KW,KuwaIT,HighSchool,G-10,A,17.0
64,0,KW,KuwaIT,HighSchool,G-10,A,0.0
65,0,KW,KuwaIT,HighSchool,G-12,A,13.0
66,1,KW,KuwaIT,HighSchool,G-12,A,25.0
67,1,USA,USA,HighSchool,G-12,A,65.0
68,1,USA,USA,HighSchool,G-12,A,70.0
69,0,Jordan,Jordan,MiddleSchool,G-07,A,39.0
70,0,Jordan,Jordan,MiddleSchool,G-07,A,22.0
71,0,KW,KuwaIT,MiddleSchool,G-07,A,29.0
72,0,KW,KuwaIT,MiddleSchool,G-07,A,11.0
73,1,KW,KuwaIT,MiddleSchool,G-07,A,11.5
74,0,KW,KuwaIT,MiddleSchool,G-07,B,12.0
75,0,Jordan,Jordan,MiddleSchool,G-07,A,50.0
76,0,Iran,Iran,HighSchool,G-09,A,15.0
77,0,KW,KuwaIT,HighSchool,G-09,A,20.0
78,0,KW,KuwaIT,HighSchool,G-11,A,13.0
79,1,lebanon,lebanon,MiddleSchool,G-07,B,80.0
80,0,KW,KuwaIT,MiddleSchool,G-07,A,8.0
82,0,KW,KuwaIT,lowerlevel,G-02,,7.0
83,0,KW,KuwaIT,lowerlevel,G-02,B,7.0
84,0,KW,KuwaIT,lowerlevel,G-02,B,50.0
85,0,KW,KuwaIT,lowerlevel,G-02,B,1.0
86,0,SaudiArabia,SaudiArabia,lowerlevel,G-02,B,70.0
87,0,KW,KuwaIT,lowerlevel,G-02,B,19.0
88,1,KW,KuwaIT,lowerlevel,G-02,B,3.0
89,0,KW,KuwaIT,lowerlevel,G-02,B,5.0
90,0,KW,KuwaIT,lowerlevel,G-02,B,4.0
92,1,KW,KuwaIT,lowerlevel,G-02,B,50.0
93,0,USA,USA,lowerlevel,G-02,,55.0
94,1,KW,KuwaIT,lowerlevel,G-02,B,80.0
95,1,KW,KuwaIT,lowerlevel,G-02,B,100.0
96,1,KW,KuwaIT,lowerlevel,G-02,C,14.0
97,1,KW,KuwaIT,lowerlevel,G-02,B,6.0
98,1,KW,KuwaIT,lowerlevel,G-02,C,28.0
99,0,KW,KuwaIT,lowerlevel,G-02,B,50.0
